AP_MAC;AP_name;AP_address;AP_location
"	0425-c58b-9760";"	0425-c58b-9760";"	10.14.1.17";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1
"	8866-3904-2360";"	UPO12-B01-FL03-AP-04";"	10.14.1.170";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 3
"	04b0-e749-eb80";"	UPO12-B01-FL06-AP-19";"	10.14.1.171";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 6
"	9835-ed80-1220";"	UPO12-B01-CH-FL03-AP-07";"	10.14.1.172";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 3
"	9835-ed80-1900";"	UPO12-B01-CH-FL03-AP-06";"	10.14.1.173";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 3
"	9835-ed80-1820";"	UPO12-B01-CH-FL03-AP-05";"	10.14.1.174";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 3
"	9835-ed80-18a0";"	UPO12-B01-CH-FL03-AP-04";"	10.14.1.175";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 3
"	9835-ed80-1880";"	UPO12-B01-CH-FL03-AP-03";"	10.14.1.176";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 3
"	9835-ed80-18e0";"	UPO12-B01-CH-FL03-AP-02";"	10.14.1.177";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 3
"	04b0-e749-e7c0";"	UPO12-B01-FL03-AP-20";"	10.14.1.18";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 3
"	8866-3904-08c0";"	UPO12-B01-FL06-AP-11";"	10.14.1.19";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 6
"	8866-3904-0380";"	8866-3904-0380";"	10.14.1.2";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1
"	8866-3904-0640";"	UPO12-B01-FL02-AP-18";"	10.14.1.20";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	04b0-e749-ef40";"	UPO12-B01-FL04-AP-19";"	10.14.1.21";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 4
"	8866-3904-1d00";"	UPO12-B01-FL04-AP-15";"	10.14.1.22";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 4
"	8866-3904-02e0";"	UPO12-B01-FL07-AP-03";"	10.14.1.23";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 7
"	8866-3904-01c0";"	UPO12-B01-FL02-AP-07";"	10.14.1.24";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	0425-c58b-97c0";"	UPO12-B01-FL05-AP-24";"	10.14.1.244";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 5
"	04b0-e749-ea60";"	UPO12-B01-FL06-AP-14";"	10.14.1.25";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 6
"	04b0-e749-e7a0";"	UPO12-B01-FL03-AP-01";"	10.14.1.26";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 3
"	8866-3904-23e0";"	UPO12-B01-FL02-AP-04";"	10.14.1.27";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	8866-3904-1f60";"	UPO12-B01-FL07-AP-30";"	10.14.1.28";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 7
"	8866-3904-0900";"	8866-3904-0900";"	10.14.1.29";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1
"	04b0-e749-edc0";"	UPO12-B01-FL04-AP-10";"	10.14.1.3";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 4
"	8866-3904-0360";"	UPO12-B01-FL02-AP-11";"	10.14.1.30";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	8866-3904-0620";"	UPO12-B01-FL04-AP-02";"	10.14.1.31";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 4
"	8866-3903-e1a0";"	8866-3903-e1a0";"	10.14.1.32";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1
"	8866-3904-0500";"	UPO12-B01-FL07-AP-06";"	10.14.1.33";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 7
"	04b0-e74a-17e0";"	UPO12-B01-FL05-AP-22";"	10.14.1.34";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 5
"	8866-3904-2640";"	UPO12-B01-FL06-AP-07";"	10.14.1.35";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 6
"	04b0-e749-ecc0";"	UPO12-B01-FL04-AP-08";"	10.14.1.36";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 4
"	04b0-e749-e380";"	UPO12-B01-FL04-AP-24";"	10.14.1.37";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 4
"	04b0-e74a-0cc0";"	UPO12-B01-FL05-AP-03";"	10.14.1.38";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 5
"	04b0-e749-eec0";"	UPO12-B01-FL03-AP-08";"	10.14.1.39";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 3
"	8866-3904-0800";"	8866-3904-0800";"	10.14.1.4";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1
"	04b0-e749-ef20";"	UPO12-B01-FL04-AP-17";"	10.14.1.40";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 4
"	8866-3904-0860";"	UPO12-B01-FL07-AP-31";"	10.14.1.41";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 7
"	bc62-0e2f-67a0";"	bc62-0e2f-67a0";"	10.14.1.42";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1
