Total AP information:
fault : fault           [63]
idle  : idle            [9]
nor   : normal          [2303]
ExtraInfo : Extra information
P     : insufficient power supply
---------------------------------------------------------------------------------------------------------------------------------------------------------------
ID    MAC            Name                                Group                   IP              Type            State  STA Uptime           ExtraInfo
145   04b0-e74a-0ce0 04b0-e74a-0ce0                      MSK-UPO-01-FLXX-ONLY_5G 10.14.1.90      AP6150DN        nor    4   15D:16H:47M:41S  -
146   04b0-e749-e760 UPO12-B01-FL03-AP-03                MSK-UPO-01-FLXX         10.14.1.87      AP6150DN        nor    1   15D:16H:47M:39S  -
147   04b0-e74a-2160 UPO12-B01-FL05-AP-18                MSK-UPO-01-FLXX         10.14.1.160     AP6150DN        nor    5   15D:16H:47M:38S  -
148   8866-3904-0800 8866-3904-0800                      MSK-UPO-01-FLXX-ONLY_5G 10.14.1.73      AP6150DN        nor    0   15D:16H:47M:40S  -
149   8866-3904-0240 UPO12-B01-FL02-AP-12                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.97      AP6150DN        nor    3   15D:16H:47M:38S  -
150   04b0-e749-f000 UPO12-B01-FL06-AP-03                MSK-UPO-MONITOR         10.14.1.79      AP6150DN        nor    0   15D:16H:47M:39S  -
151   04b0-e74a-18a0 UPO12-B01-FL05-AP-25                MSK-UPO-MONITOR         10.14.1.63      AP6150DN        nor    0   15D:16H:47M:39S  -
152   04b0-e749-ee40 UPO12-B01-FL03-AP-11                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.75      AP6150DN        nor    0   15D:16H:47M:37S  -
153   8866-3904-0900 8866-3904-0900                      MSK-UPO-01-FLXX         10.14.1.86      AP6150DN        nor    0   15D:16H:47M:35S  -
154   8866-3904-09e0 UPO12-B01-FL07-AP-05                MSK-UPO-MONITOR         10.14.1.193     AP6150DN        nor    0   15D:16H:47M:36S  -
155   8866-3904-0500 UPO12-B01-FL07-AP-06                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.81      AP6150DN        nor    2   15D:16H:47M:37S  -
156   a08c-f8d2-2be0 SPB-9055-1871-CCC-AP.2BE0           CCC-Common-Group        100.120.245.21  AP6150DN        nor    0   1D:18H:48M:43S   -
157   04b0-e749-f060 UPO12-B01-FL06-AP-02                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.178     AP6150DN        nor    0   15D:16H:47M:36S  -
158   8866-3903-e220 UPO12-B01-FL07-AP-12                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.85      AP6150DN        nor    0   15D:16H:47M:36S  -
159   04b0-e749-edc0 UPO12-B01-FL04-AP-10                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.169     AP6150DN        nor    0   15D:16H:47M:35S  -
160   8866-3904-01e0 UPO12-B01-FL02-AP-13                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.78      AP6150DN        nor    1   15D:16H:47M:35S  -
161   04b0-e749-e420 UPO12-B01-FL03-AP-17                MSK-UPO-01-FLXX         10.14.1.67      AP6150DN        nor    0   15D:16H:47M:33S  -
162   8866-3904-02c0 UPO12-B01-FL02-AP-31                MSK-UPO-01-FLXX         10.14.1.71      AP6150DN        nor    0   15D:16H:47M:33S  -
163   8866-3904-0200 UPO12-B01-FL02-AP-15                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.76      AP6150DN        nor    4   15D:16H:47M:34S  -
164   04b0-e749-e4e0 UPO12-B01-FL03-AP-16                MSK-UPO-01-FLXX         10.14.1.60      AP6150DN        nor    0   15D:16H:47M:31S  -
165   04b0-e74a-18e0 UPO12-B01-FL05-AP-09                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.74      AP6150DN        nor    2   15D:16H:47M:31S  -
166   8866-3904-0320 UPO12-B01-FL02-AP-10                MSK-UPO-MONITOR         10.14.1.186     AP6150DN        nor    0   15D:16H:47M:31S  -
167   0425-c58b-96e0 UPO12-B01-FL05-AP-08                MSK-UPO-MONITOR         10.14.1.69      AP6150DN        nor    0   15D:16H:47M:30S  -
