70:b3:17:41:1b:d8,MSK-PPK-E-FL15_3-AP29,10.14.49.239
70:b3:17:52:85:46,MSK-PPK-E-FL15_2-AP06,10.14.49.166
70:b3:17:52:8e:20,MSK-PPK-E-FL15_2-AP13,10.14.49.159
70:b3:17:a2:99:b8,MSK-PPK-E-FL15_2-AP73,10.14.49.175
70:b3:17:a2:8d:20,MSK-PPK-E-FL15_2-AP02,10.14.49.170
70:b3:17:52:8e:08,MSK-PPK-E-FL15_2-AP67,10.14.49.130
f4:db:e6:b6:6b:52,MSK-PPK-E-FL15_2-AP10,10.14.49.162
f4:db:e6:e3:a3:10,MSK-PPK-E-FL15_1-AP61,10.14.49.182
f4:db:e6:e3:cb:7e,MSK-PPK-E-FL15_2-AP15,10.14.49.158
70:b3:17:52:91:2e,MSK-PPK-E-FL15_2-AP05,10.14.49.167
70:b3:17:52:85:42,MSK-PPK-E-FL15_2-AP68,10.14.49.178
70:b3:17:52:85:40,MSK-PPK-E-FL15_2-AP71,10.14.49.174
70:b3:17:41:10:98,MSK-PPK-E-FL14_2-AP23,10.14.50.105
70:b3:17:52:8e:06,MSK-PPK-E-FL14_2-AP28,10.14.50.97
f4:db:e6:d9:7a:20,MSK-PPK-E-FL14_2-AP31,10.14.50.93
70:b3:17:41:18:bc,MSK-PPK-E-FL14_2-AP24,10.14.50.100
70:b3:17:41:18:a8,MSK-PPK-E-FL14_2-AP25,10.14.50.101
f4:db:e6:c1:b9:bc,MSK-PPK-E-FL14_2-AP42,10.14.50.68
70:b3:17:52:8e:0c,MSK-PPK-E-FL14_2-AP20,10.14.50.108
70:b3:17:52:85:54,MSK-PPK-E-FL14_2-AP35,10.14.50.92
70:b3:17:52:a4:3e,MSK-PPK-E-FL14_2-AP19,10.14.50.109
f4:db:e6:e3:bb:8c,MSK-PPK-E-FL14_3-AP67,10.14.50.173
70:b3:17:a2:8c:fc,MSK-PPK-E-FL14_3-AP72_NEW,10.14.50.161
f4:db:e6:e3:cd:ac,MSK-PPK-E-FL14_3-AP65,10.14.50.165
f4:db:e6:f4:f0:20,MSK-PPK-E-FL14_3-AP02,10.14.50.172
f4:db:e6:e3:cb:8e,MSK-PPK-E-FL14_3-AP06,10.14.50.157
70:b3:17:41:10:82,MSK-PPK-E-FL14_3-AP60,10.14.50.169
70:b3:17:41:33:9e,MSK-PPK-E-FL14_3-AP66,10.14.50.164
70:b3:17:52:85:56,MSK-PPK-E-FL14_3-AP04,10.14.50.156
70:b3:17:0c:a0:4e,MSK-PPK-E-FL15_1-AP58,10.14.49.114
f4:db:e6:f4:e9:5a,MSK-PPK-E-FL15_1-AP50,10.14.49.106
f4:db:e6:e3:bb:62,APF4DB.E6E3.BB62,10.14.49.90
f4:db:e6:e3:a6:72,APF4DB.E6E3.A672,10.14.49.86
4c:77:6d:e1:f5:76,MSK-PPK-E-FL15_2-AP76,10.14.49.122
70:b3:17:0c:9e:fe,MSK-PPK-E-FL15_1-AP57,10.14.49.111
f4:db:e6:e3:cd:b6,APF4DB.E6E3.CDB6,10.14.49.94
28:ac:9e:04:f7:84,MSK-PPK-E-FL15_1-AP88,10.14.49.118
f4:db:e6:b6:6b:5a,APF4DB.E6B6.6B5A,10.14.49.95
28:ac:9e:15:e1:36,MSK-PPK-E-FL15_1-AP89,10.14.49.119
70:b3:17:41:1a:6c,AP70B3.1741.1A6C,10.14.49.87
70:b3:17:52:8a:48,MSK-PPK-E-FL15_1-AP56,10.14.49.110
70:b3:17:52:af:b6,GOR-9042-0901-CCC-AP.AFB6,100.97.147.132
70:70:8b:0c:5b:2e,ORS-8623-0523-CCC-AP01,100.102.188.228
70:b3:17:41:15:d2,STV-RKC-01-FL02-AP04,100.105.71.145
4c:77:6d:21:79:ae,PKL-A-FL18-AP02,10.14.36.11
38:0e:4d:f6:a6:ba,PKL-B-FL09-AP15,10.14.37.130
00:5d:73:19:27:8c,PKL-C-FL04-AP01,10.14.38.149
70:7d:b9:56:88:ae,PKL-C-FL08-AP10,10.14.39.12
50:1c:b0:50:35:f0,TUL-KOM-31-FL04-AP24,100.107.208.224
50:1c:b0:54:4f:c0,AP501C.B054.4FC0,100.107.224.136
28:ac:9e:e5:f2:d0,PKL-B-FL03-AP12,10.14.36.219
70:7d:b9:56:88:aa,PKL-B-FL04-AP12,10.14.37.6
50:1c:b0:54:59:60,SML-001-FL-03-AP-06,100.107.180.25
50:1c:b0:50:1f:50,TUL-KOM-31-FL03-AP10,100.107.208.192
00:fc:ba:29:f7:c8,PKL-B-FL05-AP12,10.14.37.19
00:be:75:cf:e3:be,ORS-8623-0523-CCC-AP02,100.102.188.229
b4:de:31:1e:ac:b4,PKL-B-FL02-AP02,10.14.36.211
f4:db:e6:e3:a6:3e,AST-8625-0253-CCC-AP.A63E,100.102.241.84
28:ac:9e:57:aa:ca,PKL-B-FL03-AP02,10.14.36.207
50:1c:b0:50:33:08,TUL-KOM-31-FL03-AP20,100.107.208.181
50:1c:b0:52:5d:60,TUL-KOM-31-FL05-AP02,100.107.208.216
50:1c:b0:52:5f:d0,TUL-KOM-31-FL04-AP27,100.107.208.221
50:1c:b0:52:5d:d8,TUL-KOM-31-FL02-AP13,100.107.208.176
00:fc:ba:75:47:10,PKL-A-FL10-AP01,10.14.34.1
4c:77:6d:92:d1:42,PKL-B-FL04-AP05,10.14.37.3
50:1c:b0:50:34:08,TUL-KOM-31-FL02-AP07,100.107.208.172
50:1c:b0:54:48:90,SML-001-FL-00-AP-01,100.107.180.32
28:ac:9e:e6:12:72,PKL-A-FL20-AP05,10.14.36.130
b4:de:31:1e:e3:30,PKL-B-FL07-AP11,10.14.37.94
38:0e:4d:bf:54:06,PKL-A-FL18-AP14,10.14.36.10
38:0e:4d:f6:99:78,PKL-C-FL12-AP04,10.14.39.177
50:1c:b0:50:3e:48,TUL-KOM-31-FL02-AP18,100.107.208.152
00:fc:ba:2a:06:d0,PKL-A-FL15-AP08,10.14.35.69
28:ac:9e:52:88:9c,PKL-A-FL07-AP07,10.14.33.70
50:1c:b0:50:2a:78,TUL-KOM-31-FL02-AP08,100.107.208.173
28:ac:9e:e6:12:8c,PKL-A-FL10-AP12,10.14.34.13
38:0e:4d:6f:d5:28,PKL-C-FL12-AP14,10.14.39.185
50:1c:b0:52:5d:c0,TUL-KOM-31-FL04-AP28,100.107.208.220
00:fc:ba:75:47:22,PKL-A-FL07-AP02,10.14.33.66
50:1c:b0:50:29:20,TUL-KOM-31-FL04-AP02,100.107.208.197
00:fc:ba:2a:07:e8,PKL-A-FL04-AP07,10.14.32.142
50:1c:b0:50:3d:d8,TUL-KOM-31-FL04-AP19,100.107.208.229
00:fc:ba:2a:04:9a,PKL-A-FL16-AP03,10.14.35.132
b4:de:31:81:fa:7c,PKL-B-FL11-AP07,10.14.37.206
28:ac:9e:e6:14:82,PKL-A-FL10-AP14,10.14.34.12
50:1c:b0:50:31:60,TUL-KOM-31-FL04-AP05,100.107.208.200
4c:77:6d:e2:2f:70,PKL-A-FL02-AP09,10.14.32.14
28:ac:9e:52:6b:3c,PKL-A-FL07-AP10,10.14.33.71
70:7d:b9:56:93:64,PKL-C-FL13-AP03,10.14.39.184
28:ac:9e:e5:ee:de,PKL-A-FL13-AP12,10.14.34.193
4c:77:6d:21:53:4a,PKL-B-FL11-AP04,10.14.37.214
38:0e:4d:f6:9c:a8,PKL-C-FL12-AP15,10.14.39.145
28:ac:9e:e6:14:84,PKL-A-FL07-AP01,10.14.33.74
28:ac:9e:e6:14:8c,PKL-B-FL05-AP05,10.14.37.27
70:b3:17:52:8a:6a,NNO-NOC-AP13,100.97.145.6
50:1c:b0:50:32:d0,SML-001-FL-04-AP-06,100.107.180.16
4c:77:6d:e2:23:a2,PKL-A-FL14-AP01,10.14.35.13
00:fc:ba:2a:07:e2,PKL-A-FL12-AP09,10.14.34.137
38:0e:4d:6f:cd:42,PKL-C-FL10-AP15,10.14.39.113
4c:77:6d:e2:23:8e,PKL-A-FL01-AP07,10.14.32.19
50:1c:b0:52:5e:f0,TUL-KOM-31-FL01-AP10,100.107.208.168
50:1c:b0:54:49:08,SML-001-FL-04-AP-02,100.107.180.4
4c:77:6d:61:5a:6a,PKL-B-FL04-AP09,10.14.37.22
38:0e:4d:93:92:e2,PKL-C-FL09-AP09,10.14.39.17
28:ac:9e:52:6b:04,PKL-A-FL08-AP03,10.14.33.135
4c:77:6d:61:7d:80,PKL-B-FL10-AP06,10.14.37.195
50:1c:b0:50:27:58,SML-001-FL-04-AP-07,100.107.180.20
