UPO12-B01-FL07-AP-31, 8866-3904-0860, 10.14.1.48 
UPO12-B01-FL07-AP-16, 8866-3903-e240, 10.14.1.64 
8866-3904-0600, 8866-3904-0600, 10.14.1.51 
UPO12-B01-FL05-AP-10, 04b0-e74a-0c60, 10.14.1.44 
UPO12-B01-FL02-AP-30, 8866-3904-0480, 10.14.1.41 
8866-3904-1fe0, 8866-3904-1fe0, 10.14.1.45 
SPB-9055-1871-CCC-AP.2B20, a08c-f8d2-2b20, 100.120.245.18 
UPO12-B01-FL03-AP-18, 04b0-e749-ed80, 10.14.1.228 
UPO12-B01-FL04-AP-13, 8866-3903-f4c0, 10.14.1.57 
04b0-e749-e340, 04b0-e749-e340, 10.14.1.42 
UPO12-B01-FL05-AP-19, 8866-3904-0700, 10.14.1.49 
UPO12-B01-FL05-AP-24, 0425-c58b-97c0, 10.14.1.25 
UPO12-B01-FL05-AP-16, 0425-c58b-96c0, 10.14.1.46 
745a-aae4-2da0, 745a-aae4-2da0, 10.14.1.39 
UPO12-B01-FL02-AP-05, 8866-3904-0120, 10.14.1.33 
UPO12-B01-FL07-AP-13, 8866-3903-e1e0, 10.14.1.35 
UPO12-B01-FL06-AP-04, 04b0-e749-eaa0, 10.14.1.8 
UPO12-B01-FL04-AP-19, 04b0-e749-ef40, 10.14.1.38 
UPO12-B01-FL07-AP-30, 8866-3904-1f60, 10.14.1.34 
UPO12-B01-FL07-AP-20, 8866-3904-1fc0, 10.14.1.40 
SPB-9055-1871-CCC-AP.2A00, a08c-f8d2-2a00, 100.120.245.19 
UPO12-B01-FL05-AP-03, 04b0-e74a-0cc0, 10.14.1.43 
8866-3903-fde0, 8866-3903-fde0, 10.14.1.242 
UPO12-B01-FL06-AP-27, 04b0-e749-f020, 10.14.1.29 
UPO12-B01-FL03-AP-09, 04b0-e749-ea00, 10.14.1.28 
UPO12-B01-FL06-AP-17, 04b0-e749-eb60, 10.14.1.16 
UPO12-B01-FL02-AP-21, 8866-3904-05e0, 10.14.1.17 
04b0-e749-e4a0, 04b0-e749-e4a0, 10.14.1.22 
8866-3903-e1a0, 8866-3903-e1a0, 10.14.1.19 
UPO12-B01-FL02-AP-09, 8866-3904-0180, 10.14.1.14 
