88:66:39:04:04:a0,UPO12-B01-FL02-AP-22,10.14.1.21
88:66:39:04:19:c0,UPO12-B01-FL11-AP-18,10.14.2.5
88:66:39:04:04:00,UPO12-B01-FL05-AP-20,10.14.1.237
98:35:ed:80:18:e0,UPO12-B01-CH-FL03-AP-02,10.14.1.7
04:b0:e7:49:e7:00,UPO12-B01-FL03-AP-06,10.14.1.12
98:35:ed:80:18:20,UPO12-B01-CH-FL03-AP-05,10.14.1.3
04:b0:e7:4a:17:e0,UPO12-B01-FL05-AP-22,10.14.1.13
04:25:c5:8b:97:e0,UPO12-B01-FL05-AP-01,10.14.1.236
88:66:39:04:24:80,UPO12-B01-FL06-AP-22,10.14.1.2
88:66:39:04:03:c0,UPO12-B01-FL02-AP-17,10.14.1.10
88:66:39:03:e2:00,UPO12-B01-FL07-AP-21,10.14.1.4
88:66:39:04:05:c0,UPO12-B01-FL07-AP-02,10.14.1.23
04:b0:e7:4a:21:80,UPO12-B01-FL05-AP-26,10.14.1.125
88:66:39:04:18:20,NSB-8047-0001-CCC-AP.1820,100.106.0.102
88:66:39:04:0f:40,UPO12-B01-FL07-AP-26,10.14.1.128
88:66:39:04:06:e0,8866-3904-06e0,10.14.1.131
88:66:39:03:fc:a0,UPO12-B01-FL13-AP-26,10.14.2.36
88:66:39:04:08:80,UPO12-B01-FL07-AP-32,10.14.1.126
88:66:39:04:04:20,UPO12-B01-FL04-AP-23,10.14.1.9
04:b0:e7:49:ec:40,UPO12-B01-FL03-AP-15,10.14.1.134
04:b0:e7:49:ef:a0,UPO12-B01-FL06-AP-01,10.14.1.129
04:b0:e7:49:e4:60,UPO12-B01-FL04-AP-27,10.14.1.106
88:66:39:04:05:80,UPO12-B01-FL02-AP-28,10.14.1.130
04:b0:e7:49:e3:60,UPO12-B01-FL04-AP-25,10.14.1.132
04:b0:e7:49:ef:80,UPO12-B01-FL04-AP-20,10.14.1.133
88:66:39:04:10:a0,UPO12-B01-FL12-AP-12,10.14.2.13
88:66:39:03:f1:c0,UPO12-B01-FL09-AP-11,10.14.2.12
88:66:39:03:f9:40,UPO12-B01-FL12-AP-06,10.14.2.8
74:5a:aa:e4:26:00,1.02.006/02-aae4-2600,10.14.1.135
88:66:39:04:23:80,UPO12-B01-FL04-AP-07,10.14.1.174
04:b0:e7:49:e3:e0,04b0-e749-e3e0,10.14.1.141
88:66:39:04:25:c0,UPO12-B01-FL06-AP-24,10.14.1.127
04:b0:e7:4a:16:80,UPO12-B01-FL05-AP-07,10.14.1.146
88:66:39:04:20:60,UPO12-B01-FL07-AP-29,10.14.1.150
04:b0:e7:49:ef:20,UPO12-B01-FL04-AP-17,10.14.1.149
88:66:39:04:16:e0,UPO12-B01-FL11-AP-13,10.14.2.38
04:25:c5:8b:97:a0,UPO12-B01-FL05-AP-04,10.14.1.140
88:66:39:03:f8:c0,UPO12-B01-FL12-AP-16,10.14.2.3
04:b0:e7:49:e4:80,04b0-e749-e480,10.14.1.144
88:66:39:03:f9:80,UPO12-B01-FL02-AP-03,10.14.1.145
88:66:39:03:e1:80,UPO12-B01-FL07-AP-23,10.14.1.157
88:66:39:04:01:c0,UPO12-B01-FL02-AP-07,10.14.1.147
88:66:39:04:26:00,UPO12-B01-FL06-AP-20,10.14.1.153
88:66:39:04:05:a0,UPO12-B01-FL06-AP-13,10.14.1.98
04:b0:e7:4a:16:40,UPO12-B01-FL05-AP-05,10.14.1.156
04:b0:e7:49:e8:60,04b0-e749-e860,10.14.1.155
88:66:39:03:f4:60,UPO12-B01-FL10-AP-17,10.14.2.40
88:66:39:04:02:e0,UPO12-B01-FL07-AP-03,10.14.1.80
88:66:39:04:17:20,UPO12-B01-FL11-AP-08,10.14.2.32
88:66:39:03:f5:20,UPO12-B01-FL10-AP-21,10.14.2.75
88:66:39:03:f4:e0,UPO12-B01-FL10-AP-16,10.14.2.21
88:66:39:04:04:e0,UPO12-B01-FL04-AP-03,10.14.1.163
88:66:39:04:1c:e0,UPO12-B01-FL09-AP-22,10.14.2.2
88:66:39:04:1d:a0,UPO12-B01-FL13-AP-25,10.14.2.48
88:66:39:04:1b:20,UPO12-B01-FL09-AP-03,10.14.2.24
04:b0:e7:4a:16:c0,UPO12-B01-FL05-AP-14,10.14.1.89
88:66:39:03:fe:40,UPO12-B01-FL09-AP-10,10.14.2.116
88:66:39:04:03:80,8866-3904-0380,10.14.1.171
88:66:39:04:1c:00,UPO12-B01-FL13-AP-01,10.14.2.25
88:66:39:03:f7:e0,UPO12-B01-FL10-AP-20,10.14.2.22
04:b0:e7:49:e3:80,UPO12-B01-FL04-AP-24,10.14.1.161
88:66:39:03:f9:20,UPO12-B01-FL12-AP-20,10.14.2.15
88:66:39:04:1f:80,UPO12-B01-FL07-AP-22,10.14.1.168
88:66:39:03:f7:c0,UPO12-B01-FL10-AP-11,10.14.2.52
88:66:39:03:f8:00,UPO12-B01-FL10-AP-09,10.14.2.17
88:66:39:04:02:20,UPO12-B01-FL02-AP-06,10.14.1.159
04:b0:e7:4a:18:40,UPO12-B01-FL05-AP-17,10.14.1.164
88:66:39:04:0b:80,UPO12-B01-FL13-AP-15,10.14.2.44
88:66:39:04:06:60,UPO12-B01-FL07-AP-19,10.14.1.158
88:66:39:04:1e:60,UPO12-B01-FL13-AP-04,10.14.2.19
88:66:39:03:f8:80,UPO12-B01-FL08-AP-02,10.14.2.53
88:66:39:03:fe:a0,UPO12-B01-FL09-AP-06,10.14.2.4
88:66:39:04:1b:40,UPO12-B01-FL12-AP-14,10.14.2.23
88:66:39:03:f9:e0,UPO12-B01-FL10-AP-05,10.14.2.27
88:66:39:03:f4:20,UPO12-B01-FL11-AP-25,10.14.2.91
88:66:39:04:1a:40,8866-3904-1a40,10.14.2.6
88:66:39:04:15:a0,UPO12-B01-FL11-AP-12,10.14.2.37
88:66:39:04:1d:60,UPO12-B01-FL09-AP-21,10.14.2.9
88:66:39:03:fb:80,UPO12-B01-FL09-AP-23,10.14.2.124
88:66:39:03:fc:00,UPO12-B01-FL12-AP-07,10.14.2.46
88:66:39:04:17:a0,UPO12-B01-FL11-AP-04,10.14.2.64
88:66:39:03:ff:00,UPO12-B01-FL09-AP-15,10.14.2.47
88:66:39:03:f5:a0,UPO12-B01-FL08-AP-17,10.14.2.26
88:66:39:03:f3:c0,UPO12-B01-FL11-AP-07,10.14.2.68
88:66:39:03:f4:00,UPO12-B01-FL13-AP-18,10.14.2.79
88:66:39:04:0b:20,UPO12-B01-FL13-AP-08,10.14.2.35
88:66:39:03:fd:00,UPO12-B01-FL13-AP-17,10.14.2.87
88:66:39:04:1c:c0,UPO12-B01-FL08-AP-01,10.14.2.109
88:66:39:03:f1:e0,UPO12-B01-FL08-AP-10,10.14.2.67
88:66:39:03:fb:00,UPO12-B01-FL09-AP-13,10.14.2.42
88:66:39:04:0a:40,UPO12-B01-FL13-AP-19,10.14.2.45
88:66:39:03:f5:80,UPO12-B01-FL08-AP-13,10.14.2.54
88:66:39:03:f4:80,UPO12-B01-FL10-AP-03,10.14.2.16
88:66:39:03:f3:80,UPO12-B01-FL12-AP-10,10.14.2.102
88:66:39:03:f7:a0,UPO12-B01-FL13-AP-14,10.14.2.1
88:66:39:03:f5:c0,UPO12-B01-FL08-AP-07,10.14.2.105
88:66:39:03:dc:a0,UPO12-B01-FL10-AP-01,10.14.2.99
88:66:39:04:1a:c0,UPO12-B01-FL12-AP-11,10.14.2.74
88:66:39:04:1b:e0,UPO12-B01-FL08-AP-04,10.14.2.101
88:66:39:04:16:c0,UPO12-B01-FL12-AP-09,10.14.2.30
88:66:39:03:f2:40,UPO12-B01-FL11-AP-01,10.14.2.117
88:66:39:04:06:40,UPO12-B01-FL02-AP-18,10.14.1.166
88:66:39:04:1f:a0,UPO12-B01-FL07-AP-01,10.14.1.172
88:66:39:03:f8:a0,UPO12-B01-FL09-AP-20,10.14.2.84
88:66:39:03:fb:e0,UPO12-B01-FL13-AP-22,10.14.2.94
88:66:39:04:0a:80,UPO12-B01-FL13-AP-07,10.14.2.60
88:66:39:03:f3:a0,UPO12-B01-FL11-AP-24,10.14.2.90
88:66:39:03:f3:e0,UPO12-B01-FL12-AP-17,10.14.2.93
88:66:39:04:1d:20,UPO12-B01-FL08-AP-03,10.14.2.83
88:66:39:04:1d:40,UPO12-B01-FL13-AP-09,10.14.2.34
88:66:39:04:17:40,8866-3904-1740,10.14.2.95
88:66:39:03:f2:a0,UPO12-B01-FL08-AP-19,10.14.2.107
88:66:39:03:dd:c0,UPO12-B01-FL09-AP-05,10.14.2.14
88:66:39:04:18:40,UPO12-B01-FL11-AP-17+CCC_FOR_TEST,10.14.2.29
88:66:39:03:fd:40,UPO12-B01-FL09-AP-24,10.14.2.18
88:66:39:04:14:80,UPO12-B01-FL11-AP-11,10.14.2.57
88:66:39:03:f1:20,UPO12-B01-FL09-AP-09,10.14.2.59
88:66:39:04:1a:00,UPO12-B01-FL11-AP-03,10.14.2.70
88:66:39:03:f9:60,UPO12-B01-FL12-AP-22,10.14.2.39
88:66:39:03:ff:40,UPO12-B01-FL09-AP-12,10.14.2.63
88:66:39:04:1a:20,UPO12-B01-FL11-AP-22,10.14.2.131
88:66:39:03:f7:40,UPO12-B01-FL10-AP-06,10.14.2.11
88:66:39:04:1b:80,UPO12-B01-FL13-AP-23,10.14.2.108
88:66:39:04:0a:a0,UPO12-B01-FL13-AP-06,10.14.2.58
88:66:39:03:f7:80,8866-3903-f780,10.14.2.134
88:66:39:04:1a:e0,UPO12-B01-FL13-AP-20,10.14.2.69
98:35:ed:80:19:00,UPO12-B01-CH-FL03-AP-06,10.14.1.249
88:66:39:04:15:80,UPO12-B01-FL11-AP-06,10.14.2.118
88:66:39:04:17:80,UPO12-B01-FL11-AP-09,10.14.2.76
88:66:39:03:fe:00,UPO12-B01-FL09-AP-01,10.14.2.65
88:66:39:03:fd:20,UPO12-B01-FL12-AP-05,10.14.2.50
88:66:39:04:1a:80,UPO12-B01-FL13-AP-24,10.14.2.133
88:66:39:04:1c:a0,UPO12-B01-FL08-AP-22,10.14.2.43
88:66:39:03:f2:60,UPO12-B01-FL08-AP-16,10.14.2.56
88:66:39:03:de:60,UPO12-B01-FL12-AP-04,10.14.2.88
88:66:39:03:dd:80,UPO12-B01-FL11-AP-05,10.14.2.61
88:66:39:03:f2:00,UPO12-B01-FL08-AP-09,10.14.2.31
88:66:39:04:19:60,UPO12-B01-FL11-AP-21,10.14.2.104
88:66:39:03:fc:e0,UPO12-B01-FL12-AP-21,10.14.2.97
