AP_MAC,AP_NAME,AP_ADDRESS,AP_LOCATION
08:96:ad:9d:49:ec,MSK-PPK-E-FL02-AP77-CH,10.14.60.130,"Москва, Кутузовский просп., 32, Башня E, этаж 2"
2c:33:11:85:db:b8,MSK-PPK-E-FL02-AP76-CH,10.14.60.131,"Москва, Кутузовский просп., 32, Башня E, этаж 2"
00:fc:ba:75:87:c8,MSK-PPK-E-FL01-AP.87C8,10.14.61.198,"Москва, Кутузовский просп., 32, Башня E, этаж 1"
70:7d:b9:b4:55:46,MSK-PPK-E-FL01_3-AP.5546,10.14.61.195,"Москва, Кутузовский просп., 32, Башня E, этаж 1"
f4:db:e6:f1:44:b8,MSK-PPK-E-FL13_3-AP65,10.14.51.108,"Москва, Кутузовский просп., 32, Башня E, этаж 13"
f4:db:e6:f1:44:c4,MSK-PPK-E-FL13_3-AP76,10.14.51.116,"Москва, Кутузовский просп., 32, Башня E, этаж 13"
70:b3:17:52:91:2c,MSK-PPK-E-FL13_3-AP81,10.14.51.100,"Москва, Кутузовский просп., 32, Башня E, этаж 13"
70:b3:17:a2:8d:12,MSK-PPK-E-FL13_1-AP25,10.14.50.236,"Москва, Кутузовский просп., 32, Башня E, этаж 13"
70:b3:17:52:90:2c,MSK-PPK-E-FL13_2-AP20,10.14.51.32,"Москва, Кутузовский просп., 32, Башня E, этаж 13"
70:b3:17:52:90:30,MSK-PPK-E-FL13_2-AP17,10.14.51.28,"Москва, Кутузовский просп., 32, Башня E, этаж 13"
70:b3:17:52:ba:62,MSK-PPK-E-FL13_1-AP44,10.14.50.241,"Москва, Кутузовский просп., 32, Башня E, этаж 13"
70:b3:17:52:a7:9a,MSK-PPK-E-FL13_1-AP29,10.14.50.237,"Москва, Кутузовский просп., 32, Башня E, этаж 13"
f4:db:e6:f1:44:ba,MSK-PPK-E-FL13_3-AP75,10.14.51.117,"Москва, Кутузовский просп., 32, Башня E, этаж 13"
70:b3:17:52:91:32,MSK-PPK-E-FL13_1-AP37,10.14.50.245,"Москва, Кутузовский просп., 32, Башня E, этаж 13"
70:b3:17:41:18:c4,MSK-PPK-E-FL13_1-AP34,10.14.50.196,"Москва, Кутузовский просп., 32, Башня E, этаж 13"
70:b3:17:41:1c:2e,MSK-PPK-E-FL13_3-AP72,10.14.51.112,"Москва, Кутузовский просп., 32, Башня E, этаж 13"
70:69:5a:aa:01:1c,MSK-PPK-E-FL13_3-AP83,10.14.51.101,"Москва, Кутузовский просп., 32, Башня E, этаж 13"
f4:db:e6:f1:38:da,MSK-PPK-E-FL13_3-AP87,10.14.51.96,"Москва, Кутузовский просп., 32, Башня E, этаж 13"
